time [s],current,current2,servo1.currentSetpoint,servo1.pid_current.output,setpwm,
9.82,-3,0,0,0,0,
9.84,-11,0,0,0,0,
9.86,2,0,0,0,0,
9.88,-4,0,0,0,0,
9.9,-3,0,0,0,0,
9.92,-16,0,0,0,0,
9.94,1,0,0,0,0,
9.96,-13,0,0,0,0,
9.98,-4,0,0,0,0,
10,-5,0,0,0,0,
10.02,4,0,0,0,0,
10.04,-9,0,0,0,0,
10.06,-4,0,0,0,0,
10.08,-7,0,0,0,0,
10.1,2,0,0,0,0,
10.12,-1,0,0,0,0,
10.14,0,0,0,0,0,
10.16,1,0,0,0,0,
10.18,-5,0,0,0,0,
10.2,-4,0,0,0,0,
10.22,0,0,0,0,0,
10.24,-6,0,0,0,0,
10.26,-3,0,0,0,0,
10.28,11,0,0,0,0,
10.3,-7,0,0,0,0,
10.32,-11,0,0,0,0,
10.34,-11,0,0,0,0,
10.36,-2,0,0,0,0,
10.38,-2,0,0,0,0,
10.4,2,0,0,0,0,
10.42,-9,0,0,0,0,
10.44,-4,0,0,0,0,
10.46,5,0,0,0,0,
10.48,-15,0,0,0,0,
10.5,-1,0,0,0,0,
10.52,-1,0,0,0,0,
10.54,-13,0,0,0,0,
10.56,-2,0,0,0,0,
10.58,-10,0,0,0,0,
10.6,-6,0,0,0,0,
10.62,-5,0,0,0,0,
10.64,4,0,0,0,0,
10.66,-1,0,0,0,0,
10.68,-2,0,0,0,0,
10.7,-20,0,0,0,0,
10.72,-9,0,0,0,0,
10.74,-1,0,0,0,0,
10.76,4,0,0,0,0,
10.78,0,0,0,0,0,
10.8,-12,0,0,0,0,
10.82,2,0,0,0,0,
10.84,0,0,0,0,0,
10.86,2,0,0,0,0,
10.88,-12,0,0,0,0,
10.9,2,0,0,0,0,
10.92,-32,0,0,0,0,
10.94,104127,0,131072,0,0,
10.96,129846,0,131072,0,0,
10.98,130053,0,131072,0,0,
11,130302,0,131072,0,0,
11.02,130832,0,131072,0,0,
11.04,130428,0,131072,0,0,
11.06,130260,0,131072,0,0,
11.08,130384,0,131072,0,0,
11.1,130306,0,131072,0,0,
11.12,129935,0,131072,0,0,
11.14,129712,0,131072,0,0,
11.16,130131,0,131072,0,0,
11.18,130341,0,131072,0,0,
11.2,130064,0,131072,0,0,
11.22,126019,0,131072,0,0,
11.24,103654,0,131072,0,0,
11.26,82426,0,131072,0,0,
11.28,66525,0,131072,0,0,
11.3,55104,0,131072,0,0,
11.32,50024,0,131072,0,0,
11.34,45111,0,131072,0,0,
11.36,40896,0,131072,0,0,
11.38,38951,0,131072,0,0,
11.4,38664,0,131072,0,0,
11.42,38603,0,131072,0,0,
11.44,39886,0,131072,0,0,
11.46,38072,0,131072,0,0,
11.48,42040,0,131072,0,0,
11.5,40951,0,131072,0,0,
11.52,41982,0,131072,0,0,
11.54,41324,0,131072,0,0,
11.56,42462,0,131072,0,0,
11.58,41522,0,131072,0,0,
11.6,39638,0,131072,0,0,
11.62,42859,0,131072,0,0,
11.64,42042,0,131072,0,0,
11.66,42036,0,131072,0,0,
11.68,43885,0,131072,0,0,
11.7,42978,0,131072,0,0,
11.72,40071,0,131072,0,0,
11.74,38230,0,131072,0,0,
11.76,37868,0,131072,0,0,
11.78,37432,0,131072,0,0,
11.8,37122,0,131072,0,0,
11.82,40058,0,131072,0,0,
11.84,37078,0,131072,0,0,
11.86,41314,0,131072,0,0,
11.88,39140,0,131072,0,0,
11.9,42115,0,131072,0,0,
11.92,41267,0,131072,0,0,
11.94,40506,0,131072,0,0,
11.96,40845,0,131072,0,0,
11.98,41015,0,131072,0,0,
12,41459,0,131072,0,0,
12.02,38603,0,131072,0,0,
12.04,38892,0,131072,0,0,
12.06,38111,0,131072,0,0,
12.08,37771,0,131072,0,0,
12.1,37529,0,131072,0,0,
12.12,39331,0,131072,0,0,
12.14,36947,0,131072,0,0,
12.16,40813,0,131072,0,0,
12.18,39068,0,131072,0,0,
12.2,43409,0,131072,0,0,
12.22,40601,0,131072,0,0,
12.24,40382,0,131072,0,0,
12.26,40762,0,131072,0,0,
12.28,38156,0,131072,0,0,
12.3,38714,0,131072,0,0,
12.32,38139,0,131072,0,0,
12.34,37213,0,131072,0,0,
12.36,36161,0,131072,0,0,
12.38,35483,0,131072,0,0,
12.4,37011,0,131072,0,0,
12.42,37272,0,131072,0,0,
12.44,36665,0,131072,0,0,
12.46,35588,0,131072,0,0,
12.48,36429,0,131072,0,0,
12.5,38702,0,131072,0,0,
12.52,36645,0,131072,0,0,
12.54,40289,0,131072,0,0,
12.56,39040,0,131072,0,0,
12.58,40907,0,131072,0,0,
12.6,39715,0,131072,0,0,
12.62,41302,0,131072,0,0,
12.64,40629,0,131072,0,0,
12.66,40575,0,131072,0,0,
