time [s],adc[0],current,servo1.currentSetpoint,setpwm,
11.4893,925,0,0,500,
11.4932,939,0,0,500,
11.4967,922,0,0,500,
11.5004,955,0,0,500,
11.5038,937,0,0,500,
11.5074,951,0,0,500,
11.5109,943,0,0,500,
11.515,927,0,0,500,
11.5185,945,0,0,500,
11.5219,940,0,0,500,
11.5259,943,0,0,500,
11.5294,954,0,0,500,
11.5328,953,0,0,500,
11.5362,951,0,0,500,
11.5397,945,0,0,500,
11.5432,953,0,0,500,
11.5469,941,0,0,500,
11.5502,935,0,0,500,
11.5537,929,0,0,500,
11.5576,939,0,0,500,
11.5616,945,0,0,500,
11.5651,946,0,0,500,
11.5685,949,0,0,500,
11.572,941,0,0,500,
11.5756,940,0,0,500,
11.5792,959,0,0,500,
11.5827,944,0,0,500,
11.5862,941,0,0,500,
11.59,946,0,0,500,
11.5939,951,0,0,500,
11.5972,943,0,0,500,
11.6008,957,0,0,500,
11.6042,927,0,0,500,
11.6078,943,0,0,500,
11.6113,927,0,0,500,
11.6149,947,0,0,500,
11.6183,951,0,0,500,
11.6222,956,0,0,500,
11.6261,953,0,0,500,
11.6297,943,0,0,500,
11.6332,921,0,0,500,
11.6367,949,0,0,500,
11.6404,959,0,0,500,
11.644,959,0,0,500,
11.6474,948,0,0,500,
11.6509,941,0,0,500,
11.6548,963,0,0,500,
11.6591,956,0,0,500,
11.6627,950,0,0,500,
11.6662,927,0,0,500,
11.6698,935,0,0,500,
11.6734,956,0,0,500,
11.677,950,0,0,500,
11.6805,928,0,0,500,
11.6841,943,0,0,500,
11.6877,964,0,0,500,
11.6915,955,0,0,500,
11.695,949,0,0,500,
11.6989,951,0,0,500,
11.7025,944,0,0,500,
11.7062,937,0,0,500,
11.71,941,0,0,500,
11.7137,943,0,0,500,
11.7173,945,0,0,500,
11.721,947,0,0,500,
11.7249,937,0,0,500,
11.7285,947,0,0,500,
11.7322,951,0,0,500,
11.7357,941,0,0,500,
11.7392,927,0,0,500,
11.7427,941,0,0,500,
11.7466,941,0,0,500,
11.7503,959,0,0,500,
11.7537,941,0,0,500,
11.7577,933,0,0,500,
11.7615,953,0,0,500,
11.7651,945,0,0,500,
11.7686,949,0,0,500,
11.772,928,0,0,500,
11.7758,955,0,0,500,
11.7794,933,0,0,500,
11.783,941,0,0,500,
11.7865,957,0,0,500,
11.7906,965,0,0,500,
11.7943,937,0,0,500,
11.7981,951,0,0,500,
11.8017,949,0,0,500,
11.8061,948,0,0,500,
11.8097,941,0,0,500,
11.8133,951,0,0,500,
11.8169,951,0,0,500,
11.8205,766,0,0,0,
11.8246,0,0,0,0,
11.8282,0,0,0,0,
