time [s], adc1, current1, current1_filtered, filt, voltage,
0.507772,129,0.00934098,0.00958484,0.00960556,0.0219727,
0.509208,127,0.0108417,0.00958484,0.00959376,0.0209961,
0.510632,128,0.0098312,0.0098312,0.00973856,0.0209961,
0.512065,127,0.0111006,0.0098312,0.00980504,0.0214844,
0.513416,129,0.00934098,0.00958484,0.0096573,0.0217285,
0.51477,123,0.0111006,0.00958484,0.00961603,0.0197754,
0.516199,127,0.0105853,0.0100801,0.0097929,0.0202637,
0.517559,124,0.0100801,0.0100801,0.0100144,0.0212402,
0.519175,129,0.0100801,0.0100801,0.0100721,0.0205078,
0.520794,128,0.0100801,0.0100801,0.0100776,0.0187988,
0.522245,127,0.0103314,0.0100801,0.0100789,0.019043,
0.523706,129,0.00934098,0.0100801,0.0100798,0.0202637,
0.525075,127,0.00815926,0.0100801,0.01008,0.0192871,
0.526487,127,0.0108417,0.0098312,0.0100552,0.0197754,
0.527883,123,0.0111006,0.0100801,0.0100112,0.0202637,
0.529231,129,0.0100801,0.0100801,0.0100643,0.0205078,
0.530659,130,0.0103314,0.0100801,0.0100785,0.020752,
0.532062,128,0.00958484,0.0100801,0.0100797,0.0200195,
0.533409,129,0.0111006,0.0103314,0.0101277,0.0185547,
0.534866,129,0.0118922,0.0103314,0.0102739,0.0205078,
0.536236,128,0.0098312,0.0103314,0.0103251,0.020752,
0.537663,127,0.0103314,0.0100801,0.0101861,0.0212402,
0.539076,129,0.0111006,0.0103314,0.0102121,0.0202637,
0.540418,119,0.0100801,0.0105853,0.0103265,0.0214844,
0.541885,121,0.0100801,0.0100801,0.0104049,0.0214844,
0.543565,128,0.00909963,0.0100801,0.0101454,0.020752,
0.544919,130,0.0105853,0.0100801,0.0101113,0.0205078,
0.546266,129,0.0108417,0.0103314,0.0102536,0.0205078,
0.547667,127,0.00934098,0.0103314,0.0104419,0.0209961,
0.549057,128,0.0098312,0.0098312,0.0102542,0.0185547,
0.550396,128,0.0077041,0.0098312,0.00997869,0.0202637,
0.551988,127,0.0103314,0.0100801,0.00989775,0.0202637,
0.553598,129,0.0108417,0.0100801,0.0100337,0.0197754,
0.555149,129,0.00958484,0.0100801,0.0101187,0.0192871,
0.556537,123,0.0098312,0.0098312,0.00993853,0.0200195,
0.557979,128,0.0116259,0.0098312,0.00987278,0.0197754,
0.559373,128,0.0100801,0.0100801,0.00996571,0.0195312,
0.56074,127,0.00909963,0.0103314,0.010244,0.0202637,
0.562075,128,0.0108417,0.0100801,0.0101957,0.0205078,
0.563409,123,0.0100801,0.0100801,0.0101094,0.0192871,
0.564762,128,0.0108417,0.0100801,0.0100927,0.0197754,
0.566144,125,0.0108417,0.0103314,0.0102281,0.0202637,
0.567563,127,0.0108417,0.0103314,0.0103102,0.0195312,
