time [s],current,servo1.encoder.angularVelocity,servo1.velocitySetpoint,
5.57,7776,9.79376e+06,0,
5.58,7717,9.82102e+06,0,
5.59,7752,9.83437e+06,0,
5.6,7861,9.84098e+06,0,
5.61,7991,9.84416e+06,0,
5.62,7866,9.84571e+06,0,
5.63,8006,9.84647e+06,0,
5.64,7909,9.74137e+06,0,
5.65,7941,9.72153e+06,0,
5.66,7890,9.60627e+06,0,
5.67,7929,9.72915e+06,0,
5.68,7811,9.60998e+06,0,
5.69,7741,9.73097e+06,0,
5.7,7845,9.71642e+06,0,
5.71,7756,9.70928e+06,0,
5.72,7692,9.77962e+06,0,
5.73,7760,9.88792e+06,0,
5.74,7678,9.94104e+06,0,
5.75,7741,9.96702e+06,0,
5.76,8022,9.97979e+06,0,
5.77,7905,9.91217e+06,0,
5.78,7874,9.8791e+06,0,
5.79,7913,9.93667e+06,0,
5.8,7990,9.92268e+06,0,
5.81,7796,9.81036e+06,0,
5.82,7932,9.82915e+06,0,
5.83,8065,9.83836e+06,0,
5.84,7792,9.84287e+06,0,
5.85,7839,9.84508e+06,0,
5.86,7729,9.77233e+06,0,
5.87,7721,9.88439e+06,0,
5.88,7633,9.86543e+06,0,
5.89,7909,9.96161e+06,0,
5.9,7701,1.00827e+07,0,
5.91,7804,1.00364e+07,0,
5.92,7843,1.01193e+07,0,
5.93,8034,1.00861e+07,0,
5.94,7831,1.00381e+07,0,
5.95,7862,9.94076e+06,0,
5.96,8003,9.89305e+06,0,
5.97,8111,9.94348e+06,0,
5.98,7858,9.89442e+06,0,
5.99,7941,9.87034e+06,0,
6,7768,9.85854e+06,0,
6.01,7882,9.9583e+06,0,
6.02,7681,1.00071e+07,0,
6.03,7733,9.92556e+06,0,
6.04,7799,1.0065e+07,0,
6.05,7741,1.01333e+07,0,
6.06,7678,1.01984e+07,0,
6.07,7846,1.01987e+07,0,
6.08,7815,1.02304e+07,0,
6.09,7878,1.02144e+07,0,
6.1,8017,1.02381e+07,0,
6.11,7967,1.01443e+07,0,
6.12,7885,1.00666e+07,0,
6.13,8057,9.95472e+06,0,
6.14,7846,1.00054e+07,0,
6.15,7792,9.99861e+06,0,
6.16,7885,9.99523e+06,0,
6.17,7811,9.99361e+06,0,
6.18,7717,1.013e+07,0,
6.19,7807,1.01651e+07,0,
6.2,7768,1.0214e+07,0,
6.21,7690,1.02063e+07,0,
6.22,7772,1.02764e+07,0,
6.23,7783,1.03424e+07,0,
6.24,7924,1.02692e+07,0,
6.25,8056,1.03072e+07,0,
6.26,7980,1.01465e+07,0,
6.27,7885,1.01416e+07,0,
6.28,7865,1.01392e+07,0,
6.29,7897,1.02013e+07,0,
6.3,7890,1.01262e+07,0,
6.31,7940,1.00578e+07,0,
6.32,7784,1.01297e+07,0,
6.33,7733,1.0165e+07,0,
6.34,7755,1.02139e+07,0,
6.35,7709,1.02063e+07,0,
6.36,7665,1.03819e+07,0,
6.37,7748,1.03941e+07,0,
6.38,7733,1.04001e+07,0,
6.39,7854,1.03713e+07,0,
6.4,7776,1.03573e+07,0,
6.41,7854,1.03503e+07,0,
6.42,7976,1.02731e+07,0,
6.43,7967,1.03408e+07,0,
6.44,7838,1.01945e+07,0,
6.45,7998,1.03023e+07,0,
6.46,7717,1.01757e+07,0,
6.47,7893,1.0293e+07,0,
6.48,7783,1.01712e+07,0,
6.49,7745,1.02592e+07,0,
6.5,7736,1.04078e+07,0,
6.51,7733,1.04068e+07,0,
6.52,7657,1.04063e+07,0,
6.53,7819,1.04799e+07,0,
6.54,7807,1.0516e+07,0,
6.55,7800,-4.42758e+08,0,
6.56,7908,-2.11708e+08,0,
6.57,8076,-9.83566e+07,0,
6.58,7834,-4.28879e+07,0,
6.59,7913,-1.58137e+07,0,
6.6,7765,-2.44182e+06,0,
6.61,7851,4.00498e+06,0,
6.62,7826,7.13224e+06,0,
6.63,7792,8.8756e+06,0,
6.64,7681,9.65596e+06,0,
6.65,7740,1.00384e+07,0,
6.66,7761,1.02996e+07,0,
6.67,7768,1.04276e+07,0,
6.68,7883,1.05958e+07,0,
6.69,7838,1.06044e+07,0,
6.7,7845,1.06086e+07,0,
6.71,7983,1.06107e+07,0,
6.72,8127,1.05062e+07,0,
6.73,7854,1.04233e+07,0,
6.74,7995,1.03827e+07,0,
6.75,7795,1.03628e+07,0,
6.76,7941,1.03847e+07,0,
6.77,7845,1.02583e+07,0,
6.78,7721,1.04074e+07,0,
6.79,7710,1.04804e+07,0,
6.8,7874,1.04424e+07,0,
6.81,7729,1.04976e+07,0,
6.82,7599,1.06301e+07,0,
6.83,7877,1.05895e+07,0,
6.84,7776,1.05697e+07,0,
6.85,7921,1.06338e+07,0,
6.86,7839,1.05597e+07,0,
6.87,8003,1.05234e+07,0,
6.88,8010,1.04317e+07,0,
6.89,7862,1.04607e+07,0,
6.9,7966,1.05065e+07,0,
6.91,8010,1.03813e+07,0,
6.92,7776,1.03621e+07,0,
6.93,7764,1.03528e+07,0,
6.94,7779,1.0422e+07,0,
6.95,7820,1.04876e+07,0,
6.96,7709,1.05197e+07,0,
6.97,7709,1.06093e+07,0,
6.98,7945,1.06532e+07,0,
6.99,7811,1.06009e+07,0,
7,8022,1.07863e+07,0,
7.01,7855,1.06977e+07,0,
7.02,7776,1.06544e+07,0,
7.03,7948,1.06014e+07,0,
7.04,7908,1.04278e+07,0,
7.05,7858,1.04904e+07,0,
7.06,7873,1.03101e+07,0,
7.07,7819,1.04327e+07,0,
7.08,7783,1.04928e+07,0,
7.09,7737,1.0554e+07,0,
7.1,7858,1.05839e+07,0,
7.11,7626,1.05986e+07,0,
7.12,7642,1.05741e+07,0,
7.13,7865,1.0636e+07,0,
7.14,7682,1.06663e+07,0,
7.15,8216,1.07128e+07,0,
7.16,7921,1.06617e+07,0,
7.17,7822,1.06367e+07,0,
7.18,7971,1.05928e+07,0,
7.19,7984,1.04974e+07,0,
7.2,7803,1.05245e+07,0,
7.21,7897,1.04323e+07,0,
7.22,7842,1.03871e+07,0,
7.23,7751,1.04388e+07,0,
7.24,7850,1.04642e+07,0,
7.25,7740,1.04766e+07,0,
7.26,7654,1.05882e+07,0,
7.27,7920,1.07484e+07,0,
7.28,7796,1.0753e+07,0,
7.29,7941,1.07553e+07,0,
7.3,7874,1.07247e+07,0,
7.31,7994,1.07415e+07,0,
7.32,8061,1.06758e+07,0,
7.33,7893,1.06119e+07,0,
7.34,7986,1.06123e+07,0,
7.35,7870,1.06125e+07,0,
7.36,7885,1.0507e+07,0,
7.37,7901,1.05293e+07,0,
7.38,7725,1.05401e+07,0,
7.39,7854,1.0651e+07,0,
7.4,7819,1.06315e+07,0,
7.41,7677,1.06641e+07,0,
7.42,7583,1.07855e+07,0,
7.43,7845,1.08767e+07,0,
7.44,7800,1.07104e+07,0,
7.45,7933,1.07766e+07,0,
7.46,7714,1.07669e+07,0,
7.47,7900,1.07304e+07,0,
7.48,7883,1.06387e+07,0,
7.49,7952,1.05621e+07,0,
7.5,8053,1.06301e+07,0,
7.51,7834,1.0484e+07,0,
7.52,7796,1.05918e+07,0,
