time [s],current,servo1.currentSetpoint,setpwm,
2.74064,0,0,0,
2.74392,0,0,0,
2.74756,0,0,0,
2.75059,0,0,0,
2.75338,0,0,0,
2.75638,0,0,0,
2.75941,0,0,0,
2.76243,0,0,0,
2.76538,0,0,0,
2.76822,0,0,0,
2.77107,0,0,0,
2.77406,0,0,0,
2.77759,0,0,0,
2.78057,0,0,0,
2.78355,0,0,0,
2.78695,0,0,0,
2.78991,0,0,0,
2.79273,0,0,0,
2.79558,0,0,0,
2.79855,0,0,0,
2.80166,0,0,0,
2.80439,0,0,0,
2.80754,0,0,0,
2.81088,0,0,0,
2.81388,0,0,0,
2.81694,0,0,0,
2.81985,0,0,0,
2.82274,0,0,0,
2.82573,0,0,0,
2.82927,0,0,0,
2.83277,0,0,0,
2.83574,0,0,0,
2.83862,0,0,0,
2.8418,0,0,0,
2.84524,0,0,0,
2.84806,0,0,0,
2.85075,0,0,0,
2.85368,0,0,0,
2.85699,0,0,0,
2.8601,0,0,0,
2.86326,0,0,0,
2.866,0,0,0,
2.86922,0,0,0,
2.87207,0,0,0,
2.87511,0,0,0,
2.87809,0,0,0,
2.88088,0,0,0,
2.88411,0,0,0,
2.8871,0,0,0,
2.89025,0,0,0,
2.89325,0,0,0,
2.89684,0,0,0,
2.89981,0,0,0,
2.9026,0,0,0,
2.90601,0,0,0,
2.90912,0,0,0,
2.91193,0,0,0,
2.91494,0,0,0,
2.9183,0,0,0,
2.9216,0,0,0,
2.92463,0,0,0,
2.92743,0,0,0,
2.93024,0,0,0,
2.93361,0,0,0,
2.93683,0,0,0,
2.9398,0,0,0,
2.94273,0,0,0,
2.94541,0,0,0,
2.94833,0,0,0,
2.95132,0,0,0,
2.95443,0,0,0,
2.9571,0,0,0,
2.96009,0,0,0,
2.96325,0,0,0,
2.96643,0,0,0,
2.96969,0,0,0,
2.97272,0,0,0,
2.97598,0,0,0,
2.97896,0,0,0,
2.98196,0,0,0,
2.98475,0,0,0,
2.98767,0,0,0,
2.99204,0,0,0,
2.99523,0,0,0,
2.99831,0,0,0,
3.00182,0.0358337,0,400,
3.00506,0.198217,0,400,
3.00813,0.307295,0,400,
3.01093,0.388142,0,400,
3.01443,0.386187,0,400,
3.01749,0.41124,0,400,
3.0205,0.434459,0,400,
3.02358,0.477423,0,400,
3.02626,0.534469,0,400,
3.02948,0.596805,0,400,
3.03242,0.627997,0,400,
3.03535,0.659051,0,400,
3.03843,0.6843,0,400,
3.04165,0.702921,0,400,
3.04467,0.719045,0,400,
3.04764,0.737318,0,400,
3.05042,0.764509,0,400,
3.0534,0.791743,0,400,
3.0564,0.813663,0,400,
3.05975,0.826927,0,400,
3.06292,0.832193,0,400,
3.06562,0.837906,0,400,
3.06884,0.84084,0,400,
3.07213,0.842277,0,400,
3.07513,0.843159,0,400,
3.07788,0.843908,0,400,
3.08068,0.844523,0,400,
3.08358,0.84546,0,400,
3.08647,0.845884,0,400,
3.08962,0.847651,0,400,
3.09277,0.847533,0,400,
3.09631,0.848482,0,400,
3.09951,0.849332,0,400,
3.10228,0.849436,0,400,
3.10526,0.851327,0,400,
3.10844,0.851162,0,400,
3.11137,0.851969,0,400,
3.11438,0.850727,0,400,
3.11723,0.850925,0,400,
3.12003,0.85033,0,400,
3.12355,0.850124,0,400,
3.12648,0.849433,0,400,
3.12938,0.848681,0,400,
3.13205,0.848003,0,400,
3.1351,0.847292,0,400,
3.13856,0.846395,0,400,
3.14165,0.84572,0,400,
3.14454,0.845573,0,400,
3.14726,0.845367,0,400,
3.15087,0.846059,0,400,
3.154,0.845203,0,400,
3.15673,0.845195,0,400,
3.15939,0.845545,0,400,
3.1628,0.84591,0,400,
3.16602,0.846291,0,400,
3.16941,0.846508,0,400,
3.17222,0.847487,0,400,
3.17508,0.848016,0,400,
3.17771,0.84923,0,400,
3.18093,0.848944,0,400,
3.18405,0.849891,0,400,
3.18674,0.84897,0,400,
3.19022,0.850059,0,400,
3.19323,0.850184,0,400,
3.19618,0.850772,0,400,
3.19923,0.850447,0,400,
3.20222,0.850151,0,400,
3.20523,0.849509,0,400,
3.20804,0.849199,0,400,
3.21087,0.848859,0,400,
3.21438,0.848881,0,400,
3.21743,0.848626,0,400,
3.22072,0.848866,0,400,
3.22371,0.849487,0,400,
3.22661,0.847973,0,400,
3.23,0.846777,0,400,
3.2329,0.846152,0,400,
3.23566,0.845143,0,400,
3.23855,0.844256,0,400,
3.24227,0.845982,0,400,
3.24598,0.847169,0,400,
3.24904,0.848549,0,400,
3.25169,0.849156,0,400,
3.2548,0.850124,0,400,
3.25811,0.850036,0,400,
3.26105,0.850326,0,400,
3.26372,0.850237,0,400,
3.26654,0.851191,0,400,
3.26983,0.851337,0,400,
3.27273,0.852034,0,400,
3.27566,0.852269,0,400,
3.27839,0.852721,0,400,
3.28189,0.852878,0,400,
3.28455,0.852619,0,400,
3.28782,0.85327,0,400,
3.29102,0.854038,0,400,
3.29371,0.853047,0,400,
3.2974,0.853267,0,400,
3.30028,0.853038,0,400,
3.30337,0.852285,0,400,
3.30655,0.852196,0,400,
3.30996,0.852445,0,400,
3.31296,0.853502,0,400,
3.31583,0.852651,0,400,
3.31858,0.852797,0,400,
3.32177,0.853085,0,400,
3.32461,0.852358,0,400,
3.3276,0.852454,0,400,
3.3306,0.852484,0,400,
3.33372,0.852608,0,400,
3.33755,0.852804,0,400,
3.34058,0.853408,0,400,
3.3435,0.853028,0,400,
3.34633,0.853896,0,400,
3.34927,0.853382,0,400,
3.35234,0.854045,0,400,
3.35541,0.853355,0,400,
3.35804,0.854193,0,400,
3.3608,0.853487,0,400,
3.36357,0.853391,0,400,
